SSC_CODE_2016,SSC_NAME_2016,SA4_CODE_2016,SA4_NAME_2016,RATIO,PERCENTAGE
22643,Wallace,201,Ballarat,1,100
22644,Wallacedale,217,Warrnambool and South West,1,100
22645,Wallagaraugh,205,Latrobe - Gippsland,1,100
22646,Wallaloo,215,North West,1,100
22647,Wallaloo East,215,North West,1,100
22648,Wallan,209,Melbourne - North East,1,100
22649,Wallinduc,201,Ballarat,1,100
22650,Wallington,203,Geelong,1,100
22651,Wallup,215,North West,1,100
22652,Walmer (Vic.),202,Bendigo,1,100
22653,Walpa,205,Latrobe - Gippsland,1,100
22654,Walpeup,215,North West,1,100
22655,Walwa,204,Hume,1,100
22656,Wandana Heights,203,Geelong,1,100
22657,Wandella (Vic.),215,North West,1,100
22658,Wandiligong,204,Hume,1,100
22659,Wandin East,211,Melbourne - Outer East,1,100
22660,Wandin North,211,Melbourne - Outer East,1,100
22661,Wando Bridge,217,Warrnambool and South West,1,100
22662,Wando Vale,217,Warrnambool and South West,1,100
22663,Wandong,209,Melbourne - North East,1,100
22664,Wandown,215,North West,1,100
22665,Wangandary,204,Hume,1,100
22666,Wangarabell,205,Latrobe - Gippsland,1,100
22667,Wangaratta (Vic.),204,Hume,1,100
22668,Wangaratta South,204,Hume,1,100
22669,Wangie,215,North West,1,100
22670,Wangoom,217,Warrnambool and South West,1,100
22671,Wannon,217,Warrnambool and South West,1,100
22672,Wantirna,211,Melbourne - Outer East,1,100
22673,Wantirna South,211,Melbourne - Outer East,1,100
22674,Waranga Shores,216,Shepparton,1,100
22675,Waratah Bay,205,Latrobe - Gippsland,1,100
22676,Warburton (Vic.),211,Melbourne - Outer East,1,100
22677,Wareek,201,Ballarat,1,100
22678,Wargan,215,North West,1,100
22679,Warmur,215,North West,1,100
22680,Warncoort,217,Warrnambool and South West,1,100
22681,Warne,215,North West,1,100
22682,Warneet,212,Melbourne - South East,1,100
22683,Warrabkook,217,Warrnambool and South West,1,100
22684,Warracknabeal,215,North West,1,100
22685,Warragul,205,Latrobe - Gippsland,1,100
22686,Warragul South,205,Latrobe - Gippsland,1,100
22687,Warragul West,205,Latrobe - Gippsland,1,100
22688,Warrak,215,North West,1,100
